,team,period,outcome,x0,y0,x1,y1,possession,id_match
29891,Saudi Arabia,1,Complete,27.0,34.0,32.0,33.0,37-Saudi Arabia,32
29892,Saudi Arabia,1,Complete,42.0,33.0,55.0,21.0,37-Saudi Arabia,32
29893,Saudi Arabia,1,Complete,55.0,21.0,55.0,23.0,37-Saudi Arabia,32
29894,Saudi Arabia,1,Incomplete,92.0,15.0,112.0,21.0,37-Saudi Arabia,32
29895,Egypt,1,Complete,9.0,60.0,12.0,78.0,38-Egypt,32
29896,Egypt,1,Complete,12.0,78.0,39.0,75.0,38-Egypt,32
29897,Egypt,1,Complete,40.0,60.0,39.0,52.0,38-Egypt,32
29898,Saudi Arabia,1,Complete,84.0,40.0,86.0,48.0,39-Saudi Arabia,32
29899,Egypt,1,Complete,9.0,27.0,28.0,17.0,41-Egypt,32
29900,Egypt,1,Complete,49.0,4.0,45.0,20.0,42-Egypt,32
29901,Egypt,1,Complete,43.0,16.0,43.0,40.0,43-Egypt,32
29902,Egypt,1,Complete,58.0,43.0,62.0,34.0,44-Egypt,32
29903,Egypt,1,Complete,62.0,35.0,43.0,63.0,45-Egypt,32
29904,Egypt,1,Complete,42.0,66.0,52.0,78.0,46-Egypt,32
29905,Egypt,1,Complete,47.0,77.0,38.0,66.0,47-Egypt,32
29906,Egypt,1,Complete,39.0,64.0,54.0,43.0,48-Egypt,32
29907,Egypt,1,Complete,54.0,43.0,65.0,61.0,49-Egypt,32
29908,Saudi Arabia,1,Complete,58.0,47.0,58.0,25.0,50-Saudi Arabia,32
